-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-100.00,-49.95,-30.14,-20.80,-15.67,-12.49,-10.33,-8.78,-7.60,-6.68,-5.93,-5.31,-4.79,-4.34,-3.96,-3.62,-3.32,-3.05,-2.81,-2.60,-2.40,-2.22,-2.06,-1.91,-1.77,-1.64,-1.52,-1.41,-1.30,-1.21,-1.12,-1.03,-0.95,-0.87,-0.80,-0.73,-0.67,-0.61,-0.55,-0.49,-0.43,-0.38,-0.33,-0.28,-0.23,-0.18,-0.14,-0.09,-0.05,0.00
-100.00,-69.67,-49.82,-37.40,-29.38,-23.95,-20.07,-17.18,-14.95,-13.17,-11.73,-10.52,-9.50,-8.63,-7.87,-7.20,-6.61,-6.08,-5.61,-5.18,-4.79,-4.43,-4.10,-3.80,-3.53,-3.27,-3.03,-2.81,-2.60,-2.41,-2.23,-2.06,-1.89,-1.74,-1.60,-1.46,-1.33,-1.21,-1.09,-0.98,-0.87,-0.76,-0.66,-0.56,-0.46,-0.37,-0.27,-0.18,-0.09,0.00
-100.00,-78.92,-62.05,-49.59,-40.52,-33.84,-28.81,-24.92,-21.84,-19.35,-17.28,-15.55,-14.07,-12.80,-11.69,-10.70,-9.83,-9.05,-8.35,-7.72,-7.14,-6.61,-6.12,-5.68,-5.26,-4.88,-4.53,-4.20,-3.89,-3.60,-3.33,-3.07,-2.83,-2.60,-2.39,-2.19,-1.99,-1.81,-1.63,-1.46,-1.30,-1.14,-0.99,-0.84,-0.69,-0.55,-0.41,-0.27,-0.14,0.00
-100.00,-83.97,-69.89,-58.38,-49.27,-42.10,-36.42,-31.86,-28.15,-25.08,-22.51,-20.32,-18.44,-16.81,-15.37,-14.10,-12.97,-11.95,-11.03,-10.20,-9.44,-8.74,-8.11,-7.52,-6.97,-6.47,-6.00,-5.56,-5.15,-4.77,-4.41,-4.07,-3.75,-3.45,-3.17,-2.90,-2.64,-2.40,-2.16,-1.94,-1.72,-1.51,-1.31,-1.11,-0.92,-0.73,-0.54,-0.36,-0.18,0.00
-100.00,-87.06,-75.14,-64.79,-56.08,-48.86,-42.90,-37.95,-33.81,-30.32,-27.35,-24.79,-22.56,-20.61,-18.89,-17.36,-15.98,-14.75,-13.63,-12.61,-11.68,-10.82,-10.04,-9.31,-8.64,-8.02,-7.44,-6.90,-6.39,-5.92,-5.47,-5.05,-4.66,-4.29,-3.93,-3.60,-3.28,-2.97,-2.68,-2.40,-2.13,-1.87,-1.62,-1.38,-1.14,-0.91,-0.68,-0.45,-0.22,0.00
-100.00,-89.12,-78.84,-69.54,-61.39,-54.37,-48.36,-43.23,-38.83,-35.05,-31.78,-28.92,-26.41,-24.19,-22.22,-20.45,-18.86,-17.43,-16.12,-14.93,-13.84,-12.83,-11.91,-11.05,-10.26,-9.52,-8.84,-8.20,-7.60,-7.04,-6.51,-6.01,-5.54,-5.10,-4.68,-4.28,-3.90,-3.54,-3.19,-2.86,-2.54,-2.23,-1.93,-1.64,-1.36,-1.08,-0.80,-0.53,-0.27,0.00
-100.00,-90.58,-81.54,-73.16,-65.59,-58.86,-52.94,-47.77,-43.24,-39.27,-35.78,-32.70,-29.97,-27.53,-25.34,-23.37,-21.59,-19.97,-18.50,-17.15,-15.91,-14.76,-13.71,-12.73,-11.82,-10.98,-10.19,-9.46,-8.77,-8.12,-7.51,-6.94,-6.40,-5.89,-5.41,-4.95,-4.51,-4.09,-3.69,-3.31,-2.94,-2.58,-2.23,-1.90,-1.57,-1.25,-0.93,-0.62,-0.31,0.00
-100.00,-91.67,-83.59,-75.97,-68.93,-62.54,-56.79,-51.66,-47.09,-43.01,-39.38,-36.14,-33.23,-30.61,-28.25,-26.11,-24.16,-22.38,-20.75,-19.26,-17.88,-16.61,-15.43,-14.34,-13.32,-12.38,-11.49,-10.67,-9.89,-9.17,-8.48,-7.84,-7.23,-6.65,-6.11,-5.59,-5.09,-4.62,-4.17,-3.74,-3.32,-2.91,-2.52,-2.14,-1.77,-1.41,-1.05,-0.70,-0.35,0.00
-100.00,-92.50,-85.18,-78.19,-71.63,-65.57,-60.03,-54.99,-50.43,-46.31,-42.60,-39.24,-36.20,-33.44,-30.93,-28.65,-26.55,-24.64,-22.87,-21.25,-19.75,-18.36,-17.07,-15.87,-14.76,-13.71,-12.74,-11.83,-10.97,-10.17,-9.41,-8.70,-8.03,-7.39,-6.78,-6.21,-5.66,-5.13,-4.63,-4.15,-3.69,-3.24,-2.80,-2.38,-1.97,-1.57,-1.17,-0.78,-0.39,0.00
